feature_name,fold_1_importance,fold_2_importance,fold_3_importance,fold_4_importance,fold_5_importance,fold_6_importance,fold_7_importance,fold_8_importance,fold_9_importance,fold_10_importance,avg_importance,std_importance
h2h_win_rate,0.12036874707807388,0.1540001168770453,0.07747487143525011,0.06292367928938758,0.19037809724170163,0.1434373539036934,0.16947708578143383,0.13777248957048005,0.11745695986838245,0.1504201186908748,0.1323709519736323,0.037269172980673775
h2h_score_diff,0.037429873772791056,0.01290030388031782,0.03250642823749428,0.01170231416549794,0.024675666199158286,-0.001972300140252514,0.0173766157461811,0.028145014395675405,0.03825136612021862,0.024090722134085363,0.022510600451116736,0.0120172833081536
h2h_advantage_team1,-0.0026735624123422896,0.0011833800841515307,0.023463066853669945,0.028108929406264527,0.0021768349696118516,0.0058292426367462236,0.004509400705053013,0.006580880192725735,0.009504083671191044,0.011957224278747236,0.009063948038581881,0.009291331338378105
win_rate_diff,0.00170932678821889,-0.0008619682094436198,-0.003915381019167885,0.00016070593735384442,0.0038861617578307417,0.0036816269284712932,-0.00248237367802584,-0.0006169575180681175,0.0005288207297727832,-0.00026441036488622505,0.00018255513520558652,0.002328874584920791
h2h_x_win_rate,0.0024105890603085545,-0.0036670172978028326,-0.0063697989714819325,0.007275596072931156,0.0007743104254324118,0.004806568489948537,-0.0006316098707404016,0.0016892884423289622,-0.005817028027498727,-0.0014542570068747374,-9.833586834490093e-05,0.004190201134456782
icebox_atk_win_rate_diff,0.007597007947639178,-0.0032287283777466813,0.0023521505376344898,-0.003944600280505028,-0.001621669004207682,-0.0024982468443198735,0.0070945945945948274,-0.005831717492214561,-0.0028056877607379738,-0.0008079205593747307,-0.0003694817239238035,0.00435435875004931
pistol_x_eco,-0.00010226741467977973,-0.001621669004207571,-0.0017239364188873507,0.0008619682094436198,-0.0015632304815335063,-0.0034478728377745904,-0.0015129259694475206,-0.0009107468123862317,-0.0003966155473293931,0.0003231682237498923,-0.0010094128053052432,0.0011780380223495835
pistol_x_full_buy,-0.0007450911640953795,-0.0016801075268818577,-0.003243338008415142,0.0005551659654043917,-0.0022791023842918534,-0.0019284712482469102,0.00016157461809640505,0.00038192608261355954,-0.000866678418238398,-0.0007785416299430636,-0.0010422663713998248,0.0011740835751576698
avg_score_diff,-0.0006574333800841714,-0.0005259467040673593,-0.005683146330060729,0.003929990649836235,-0.0026005142589997643,-0.0014901823281906479,-0.002511750881316055,-0.0025559668605676933,0.0029525824078970864,-0.001968388271931465,-0.0011110755957484564,0.002655643041447759
win_loss_ratio_diff,0.0013879149135109792,7.304815334263637e-05,-0.006136044880785452,0.0007743104254324118,-0.00017531556802252712,-0.0022791023842917424,0.001336662749706341,-0.0031141665197720325,-0.0013367412891474029,-0.001733356836477018,-0.0011202791236503806,0.002216599669480283
total_matches,-0.001534011220196252,-0.00170932678821889,-0.007012622720897532,0.00387155212716217,-0.004733520336606123,-0.005639317438055236,-0.0026880141010574565,0.00436277102062399,-0.0035548504612492593,0.004098360655737654,-0.0014538979262756935,0.003977479334801698
rating_x_win_rate,-0.0003068022440393392,-0.0035793595137915135,-0.0008765778401121915,-0.002834268349696245,-0.0004382889200562623,-0.001796984572229987,-0.000749118683901262,-0.0013514307538633474,-0.0001468946471591126,-0.0028203772254539183,-0.001490010275030318,0.0011528660843038632
first_blood_x_win_rate,-0.00042367928938746857,-0.0005989948574099957,-0.005142589995324909,-0.0004236792893876906,-0.0018992519869097668,0.0018408134642357021,-0.000749118683901151,-0.0004700628709091159,-0.002497209001703915,-0.005435101944885057,-0.0015798874455583366,0.0021391088739930136
player_rating_diff,-0.003929990649836346,-0.00039446002805054725,-0.007246376811594235,-0.0015194015895279023,-0.0018992519869098778,0.0014463534361851549,-0.001659811985898929,-0.0009107468123862317,-0.0011898466419884013,0.0007785416299430636,-0.0016524991440064253,0.0023327418021705324
split_win_rate_diff,-0.0019430808789154819,-0.0017677653108930658,-0.0015486208508648236,-0.006793478260869623,0.0009057971014491129,-0.0027320009350163543,-0.0013219741480610114,0.0016452200481813506,-0.0021740407779540227,-0.0035842293906811484,-0.0019314173403625068,0.0022013227222001846
kd_diff,-0.00387155212716217,-0.003783894343151073,-0.004777349228611505,0.005639317438055125,-0.0026297335203366856,-0.00365240766713415,-0.0009694477085779862,0.0006757153769315627,-0.002394382748692525,-0.003804571361419651,-0.0019568305890099056,0.0029580350205578388
avg_headshot,-0.0016947171575503184,-0.0013586956521739468,-0.003418653576437669,-0.004412108461898101,0.00048211781206153326,-0.0027612201963532756,-0.002056404230317166,-0.0032757506316469787,-0.00011751571772711245,-0.0010429519948292887,-0.001965589980687232,0.0014544499880327205
economy_efficiency_diff,0.0018554230949041628,-0.00162166900420746,-0.006676601215521272,-0.002527466105656906,-0.0012272089761571348,-0.0018115942028985588,-0.0018801410105756533,-0.00038192608261367056,-0.006595569657441569,0.0006757153769316737,-0.0020191037783236386,0.002621002419045027
icebox_def_win_rate_diff,-0.00020453482935955947,-0.00224988312295471,-0.0069103553062177525,-0.002074567554932294,1.4609630668349638e-05,0.00018992519869098778,0.0001468860164512975,-0.0026147247194313605,-0.0027763088313060846,-0.0037164345731243165,-0.0020195388091515444,0.0021163577696263246
acs_diff,-0.003608578775128657,-0.0012710378681626278,-0.0030388031790556935,-0.005011103319308208,-0.0004382889200561513,-0.0002629733520337352,-0.0012632197414804702,-0.0007491627005112855,-0.0029819613373289755,-0.0030407191961924207,-0.0021665848389258225,0.0015032713763537817
wins_diff,-0.005405563347358533,0.0014025245441795509,-0.004528985507246341,0.0037546750818138186,-0.004324450677887004,-0.002206054230948995,-0.0011310223266743913,-0.003995534402726486,-0.002394382748692525,-0.0035401609965332037,-0.002236895461207411,0.002735623074936557
score_diff_differential,-0.00016070593735395544,-0.0009204067321177956,-0.0062821411874708355,-0.00010226741467977973,-0.0030972417017298692,-0.0018554230949040518,-0.00368683901292588,-0.0010576414595452333,-0.004950349609260218,-0.0012045361067043459,-0.0023317552256691965,0.001992025703156755
avg_pistol_win_rate,-0.005303295932678864,-0.001212599345488563,-0.005171809256661941,0.0009496259934548279,-0.0007597007947639511,-0.004149135109864477,-0.0029230317273795103,-0.0005288207297726721,-0.004127739585169543,-0.00038192608261355954,-0.0023608432570938255,0.0021285974609556563
pearl_win_rate_diff,-0.004280621785881178,-0.0018700327255727345,-0.0038861617578307417,1.4609630668349638e-05,-0.0006574333800842824,-0.00016070593735384442,-0.002217978848413571,-0.003128855984487977,-0.005772959633350894,-0.002365003819260858,-0.0024325144241567733,0.0017843617532648398
avg_fk_fd,-0.0006574333800841714,-0.0013586956521738358,-0.0031410705937353622,-0.0021476157082750413,-0.0037985039738197557,-0.002571294997662399,-0.003422444183313611,-0.003099477055056199,-0.0032169927727832004,-0.0012045361067043459,-0.002461806442360792,0.0010154783588334952
lotus_win_rate_diff,0.0013002571294997711,-0.0002337540906965918,-0.0016947171575502074,0.0006866526414212037,-0.000496727442730327,-0.008736559139784994,-0.0007784958871914771,-0.002864445619601641,-0.0029819613373287535,-0.009122157588577484,-0.00249219084925405,0.0034708770675185023
full_buy_win_rate_diff,-0.0017677653108929547,-0.00010226741467977973,-0.0052886863020102926,-0.001621669004207571,0.00043828892005604025,-0.005668536699392268,-0.0030405405405404817,-0.005009107468123886,-0.00030847875903405875,-0.0028497561548858075,-0.0025218518733711058,0.0021216695418772775
fk_fd_diff,-0.002512856474988334,-0.0018700327255727345,-0.0028050490883591017,-0.005230247779336228,-0.00493805516596546,-0.0018846423562411951,-0.001659811985898818,-0.0017921146953405742,-0.003128855984487755,0.0003525471531816704,-0.002546911910300853,0.0015486963970179257
adr_diff,-0.006399018232818965,-0.0011395511921458157,-0.007246376811594124,0.0009788452547919713,-0.0017239364188874617,-0.005303295932678753,0.0017479435957696854,-0.004377460485339935,-0.002365003819260636,-0.0007785416299430636,-0.0026606395672107096,0.0029058189706371333
abyss_atk_win_rate_diff,-0.007260986442262807,-0.004324450677886782,-0.005522440392706884,0.0052886863020101815,-0.003243338008415253,-0.002249883122954599,-0.006183901292596827,0.0002056525060225578,0.002394382748692525,-0.007065632528350685,-0.002796191090844857,0.004015269327624158
sunset_win_rate_diff,-0.0035793595137915135,-0.0023521505376343788,-0.005610098176718203,-0.004528985507246341,0.0003360215053761495,-0.003243338008415253,-0.002776145710928213,-0.003951466008578763,-0.002658793113578861,0.00013220518244316803,-0.002823210988907221,0.0017794385244876238
breeze_def_win_rate_diff,-0.0030388031790555825,-0.0013294763908368035,-0.006296750818139407,0.00043828892005604025,-0.004046867695184697,-0.0025566853669939382,-0.0027467685076378867,-0.0036136083201129265,-0.004201186908749044,-0.0015423937951700717,-0.0028934252061824316,0.0017512720130176812
icebox_win_rate_diff,-0.0008911874707808742,-0.0012710378681627388,-0.0019430808789153708,-0.0037692847124823903,-0.004455937353903816,-0.004324450677886782,-0.0038631022326673925,-0.0012779834302838466,-0.004230565838180822,-0.0031435454492039216,-0.0029170175912467955,0.001348907847764696
pistol_win_rate_diff,-0.0014755726975221872,-0.0016508882655447144,-0.005084151472650733,-0.004309841047218432,-0.001986909770921086,-0.003593969144460085,-0.0021004700352524885,-0.0038780186849992626,-0.003922087079146763,-0.0013808096832950145,-0.0029382717881010767,0.0012882737391496325
haven_win_rate_diff,-0.004134525479195794,-0.0004821178120617553,-0.008429756895745655,-0.0033602150537634934,-0.0008181393174381268,-0.004339060308555354,-0.002188601645123245,-0.002937892943181364,0.0017774252306246296,-0.005435101944885168,-0.0030347986169325324,0.0027054781575681906
eco_win_rate_diff,-0.0034917017297801944,-0.0017677653108929547,-0.006720430107526765,-0.002936535764375914,-0.000993454885460654,-0.00311185133239833,-0.0021298472385428147,-0.0058464069569305055,-0.003569539925964982,-0.0007344732357952299,-0.003130200648766834,0.001838238243032735
consistency_diff,-0.004631252921926121,-0.006209093034128088,-0.0021037868162692153,-0.004894226273959745,0.0018408134642355911,-0.0026005142589994312,0.0012632197414806923,-0.006933427345907517,-0.002893824549033308,-0.004171807979317266,-0.003133389997382441,0.002753125329509502
avg_opponent_score_diff,-0.004981884057971064,-0.006530504908835888,-0.005142589995324798,0.006705820476858415,0.0010226741467974643,-0.007655446470313243,-0.004391891891891708,-0.003231682237499256,-0.006125506786532675,-0.0017039779070451289,-0.003203498963175788,0.004075125137130493
sunset_atk_win_rate_diff,-0.0030388031790558045,-0.0016070593735389993,-0.004631252921926121,-0.003374824684432065,-0.005171809256662163,-0.004324450677886893,-0.0032168037602818833,0.00026441036488622505,-0.0028056877607379738,-0.004876902285680718,-0.0032783183535316394,0.0015717341135963454
pearl_def_win_rate_diff,-0.003783894343150962,-0.002381369798971522,-0.0045728143992519454,-0.0010080645161291146,-0.002030738662926579,-0.004339060308555465,-0.0006609870740305057,-0.004201186908749155,-0.005214759974146443,-0.005082554791703386,-0.003327543077761508,0.0015891657813449365
better_avg_score_team1,-0.006267531556802153,-0.006106825619448308,-0.005770804114071937,0.0006574333800841714,0.0003652407667134039,-0.0035793595137915135,-0.0010282021151586385,-0.0033491979552267015,-0.0022181091721017454,-0.00816734238204364,-0.003546469828184706,0.00285272184196591
h2h_matches,-0.003608578775128546,-0.005478611500701391,-0.006252921926133692,-0.0016070593735391103,0.0009788452547918602,-0.005610098176718092,0.0007638072855464806,-0.0027469299018744175,-0.008475821141077589,-0.0037164345731242054,-0.0035753802827958705,0.002882655902507876
breeze_win_rate_diff,-0.0010957223001402117,-0.002658952781673718,-0.00495266479663381,-0.001753155680224383,-0.0037546750818139296,-0.005347124824684468,-0.005566980023501644,-0.0035401609965334258,-0.003437334743521814,-0.004436218344203602,-0.0036542989572931005,0.0014157228065212603
headshot_diff,-0.0023667601683030615,-0.0035355306217860205,-0.006165264142122484,-0.0035939691444601962,-0.0005551659654046137,-0.006077606358111276,-0.004553466509988113,-0.005141312650567054,-0.00036723661789750395,-0.005170691579998832,-0.0037527003758639154,0.0019870732494297262
match_count_diff,-0.004280621785881289,-0.003024193548387011,-0.008546633941094006,-0.0041637447405329375,-0.000993454885460654,-0.007421692379616651,0.00013219741480607894,-0.0040836711910219314,-0.005185381044714665,-0.001762735765908685,-0.003932993186781175,0.002567578008665768
h2h_x_form,-0.002030738662926579,-0.008006077606358186,-0.007041841982234676,-0.006924964936886435,0.001986909770920864,-0.004280621785881178,-0.0015569917743829542,-0.003598918855397093,-0.0010723309242610668,-0.008005758270168695,-0.0040531335027576,0.0032307116374030442
abyss_win_rate_diff,-0.004382889200561069,-0.003330995792426461,-0.003827723235156677,-0.002615123889668114,-0.005347124824684468,-0.005551659654043917,-0.003657461809635665,-0.005067865326987553,-0.002658793113578861,-0.004186497444033099,-0.004062613429077588,0.0009907677039470565
abyss_def_win_rate_diff,-0.0018700327255727345,-0.00027758298270219584,-0.006749649368863908,-0.00997837774661059,-0.00471891070593744,-0.004879616643291285,-0.001953584018801302,-0.0047153181738058825,-0.004083671191021709,-0.0016892884423291843,-0.0040916031998936234,0.002700874950501479
avg_defense_metric,-0.0074947405329592875,-0.004514375876577881,-0.008999532491818618,0.00027758298270219584,-0.0015632304815336173,-0.00365240766713415,-0.004920681551116246,-0.004201186908749044,-0.00520007050943061,-0.0040836711910219314,-0.004435231422763919,0.0024954065447293384
h2h_significant,-0.010562762973352013,-0.0069103553062178635,-0.010255960729312785,-0.003462482468443384,-0.006647381954184239,-0.013776881720430123,-0.0025851938895417037,-0.006272401433691899,-0.0016452200481813506,5.875785886355622e-05,-0.00620598826644918,0.004172315774844713
